Station_Name,Train_Count
SHADNAGAR,33
FURKATING JN,33
FATEHPUR,33
SIROHI ROAD,33
BENOY BADAL,33
KALYANI SILP,33
MODINAGAR,33
ROTEGAON,33
MIYAGAM KARJ,33
BIDAR,33
ROHA,33
BANASWADI,33
KALYANI GHOS,33
NIMACH,33
ALLAHABAD CI,33
PONDICHERRY,32
JANGIPUR ROA,32
RAJKHARSAWAN,32
SAMBALPUR RO,32
MANWATH ROAD,32
GAHMAR,32
AMBALAPUZHA,32
GIDHAUR,32
SON NAGAR JN,32
ITWARI JN.,32
GAJRAULA JN.,32
HAIAGHAT,32
OKHA,32
BHACHAU,32
SHRI MAHABIR,32
CHITTAPUR,32
BITRAGUNTA,32
PUNARAKH,32
BAREJADI NAN,32
ELAMANCHILI,32
SURAIMANPUR,32
WALAJAH ROAD,32
BUDALUR,32
KHAMBHALIYA,32
GARBETA,32
BARABHUM,32
DASUA,32
TIRUPATTUR,32
VANGAON,32
ROZA JN,32
BHAVNAGAR TE,32
UDAIPUR CITY,32
DWARKA,32
PIRPAINTI,32
MANANPUR,32
MHOW,32
MAHENDRAGARH,32
KAMPTEE,32
HARISHCHANDR,32
SITAMARHI,32
ATHMAL GOLA,32
HARIPAD,32
BADARPUR JN.,31
BELDA,31
KELVE ROAD,31
BELDANGA,31
MARRI PALEM.,31
DHOLA JN,31
BUDVEL,31
BETHUADAHARI,31
GOPAL NAGAR,31
AKAIPUR H,31
JIAGANJ,31
SAWANTWADI R,31
SRIDHAM,31
BOTAD,31
SACHIWALAYA,31
KIM,31
MALLARPUR,31
MANKAR,31
GANGNAPUR,31
SATBERIAHALT,31
TOHANA,31
RANA PRATAP,31
BARAKAR,31
ASTHAL BOHAR,31
DIBRUGARH,31
KUNDAPURA,31
