Train_No,Total_Distance,Number_of_Stops
14004,1418,23
14005,1182,41
14006,1183,43
14007,1235,34
14008,1236,34
14011,410,9
14012,410,9
14013,627,15
14014,627,15
14015,1218,35
14016,1219,36
14017,1282,36
14018,1283,36
14019,2478,18
14020,2479,18
14021,291,18
14022,291,18
14033,653,32
14034,653,30
14035,495,19
14036,495,20
14041,338,20
14042,338,20
14043,237,13
14044,237,13
14055,2578,62
14056,2579,61
14085,263,20
14086,263,20
14095,269,14
14096,269,15
14101,208,13
14102,208,13
14109,213,12
14110,213,12
14113,360,15
14114,360,16
14115,724,15
14116,724,15
14117,263,10
14118,263,10
14119,335,11
14120,335,11
14123,246,15
14124,246,15
14125,202,15
14126,202,15
14151,429,13
14152,478,13
14163,629,30
14164,629,24
14201,197,11
14202,197,11
14203,301,14
14204,301,14
14205,614,11
14206,614,11
14207,659,16
14208,659,16
14209,194,8
14210,194,8
14211,188,18
14212,191,18
14213,254,12
14214,255,12
14215,200,11
14216,200,11
14217,875,41
14218,875,40
14219,301,12
14220,301,12
14221,203,9
14222,203,9
14227,276,13
14228,276,12
14235,558,48
14236,558,45
14257,793,32
14258,793,34
14260,319,8
14265,845,49
14266,845,51
14307,460,41
14308,460,40
14309,1226,30
14310,1228,30
14311,1543,46
14312,1540,45
14313,1592,26
14314,1591,27
14315,257,16
14316,257,16
14317,1165,30
14318,1168,30
14319,1021,19
14320,1020,19
14321,1409,46
14322,1407,45
14323,71,6
14324,71,6
14369,722,36
14370,722,36
14371,201,10
14372,201,10
14501,523,13
14502,523,13
14503,479,10
14504,479,10
14505,286,11
14506,286,12
14511,773,29
14512,773,28
14519,335,19
14520,335,19
14521,261,14
14522,261,14
14523,1295,21
14524,1296,21
14525,314,15
14526,314,15
14545,212,27
14546,203,27
14553,398,28
14554,398,26
14555,271,21
14556,271,21
14601,184,10
14602,184,10
14603,1568,33
14604,1571,33
14609,635,22
14610,635,22
14611,1385,14
14613,236,8
14614,236,8
14615,661,18
14616,661,18
14623,1027,23
14624,1029,23
14625,382,18
14626,382,18
14629,123,9
14630,123,9
14631,462,27
14632,462,29
14633,106,7
14634,106,7
14645,639,29
14646,639,28
14649,1668,63
14650,1669,58
14659,919,39
14660,919,39
14661,209,8
14662,209,8
14673,1650,58
14674,1653,58
14681,438,21
14682,438,21
14703,314,14
14704,314,14
14707,1211,34
14708,1209,34
14709,2094,31
14710,2091,31
14711,471,21
14712,471,21
14713,534,15
14714,534,15
14715,445,10
14716,445,10
14717,751,14
14718,751,14
14723,604,31
14724,605,30
14731,521,29
14732,521,29
14795,108,6
14796,108,6
14801,735,41
14803,479,17
14804,479,17
14805,2242,38
14806,2240,37
14807,150,10
14808,150,10
14809,300,11
14810,300,11
14811,291,12
14812,291,12
14853,1193,36
14854,1194,37
14863,1145,31
14864,1146,32
14865,1170,33
14866,1171,33
14887,1082,40
14888,1082,40
14889,324,2
14890,324,2
15001,1122,26
15002,1124,26
15003,551,31
15004,551,28
15005,813,16
15006,814,16
15007,503,36
15008,505,37
15009,329,16
15011,698,20
15012,698,20
15013,1255,39
15014,1256,39
15015,2501,23
15016,2504,23
15017,1718,73
15018,1718,73
15019,81,5
15020,81,5
15021,1056,15
15022,1055,15
15023,2460,24
15024,2473,24
15025,823,11
15026,823,11
15027,859,50
15028,864,50
15029,1747,20
15030,1748,20
15033,243,8
15034,243,8
15035,278,10
15036,277,10
15037,246,20
15038,247,20
15039,107,8
15040,107,8
15041,107,9
15042,107,9
15043,341,11
15044,341,11
15045,2285,39
15046,2286,39
15047,855,19
15048,858,19
15049,879,27
15050,882,27
15051,873,22
15052,875,23
15053,535,13
15054,536,13
15055,440,21
15056,440,21
15057,748,8
15058,749,8
15059,248,11
15060,248,11
15063,1745,23
15064,1745,23
15065,1743,23
15066,1743,23
15067,1896,26
15068,1895,26
15069,333,11
15070,333,11
15097,1777,31
15098,1780,31
15101,1878,19
15102,1882,19
15103,234,15
15104,234,16
15105,177,10
15106,179,16
15111,222,14
15112,222,14
15115,996,21
15116,996,21
15117,492,11
15118,493,10
15119,2790,37
15120,2785,37
15159,1091,50
15160,1092,46
15201,204,17
15202,204,17
15203,670,37
15204,674,37
15205,585,28
15206,585,27
15209,1520,48
15210,1523,48
15211,1485,48
15212,1486,46
15215,159,13
15216,159,13
15227,2729,36
15228,2729,35
15231,1523,32
15232,1520,34
15233,534,10
15234,534,10
15235,535,11
15236,536,11
15267,1924,24
15268,1925,23
15269,1744,25
15270,1745,25
15271,549,12
15272,550,12
15273,955,45
15274,956,45
15275,109,8
15276,109,8
15279,1182,22
15280,1185,22
15283,373,19
15284,373,19
15417,589,26
15418,589,26
15463,308,15
15464,309,15
15483,1638,58
15484,1638,59
15529,1253,25
15530,1255,25
15531,1612,28
15532,1615,28
15547,1963,20
15548,1963,20
15549,243,10
15550,243,10
15559,2018,27
15560,2020,27
15563,1865,26
15564,1866,26
15601,2294,14
15602,2295,14
15603,571,35
15604,570,35
15605,233,20
15606,233,20
15613,491,25
15614,491,25
15617,332,14
15618,332,14
15619,1093,21
15620,1093,21
15621,1901,25
15622,1904,25
15623,2541,46
15624,2540,46
15629,2796,40
15630,2797,40
